StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,23.899423738179056,
2,1,1,23.899423738179056,36.333909595154275,
3,1,2,36.333909595154275,inf,
4,2,0,-inf,inf,
5,3,0,-inf,inf,
6,4,0,-inf,23.720805366355464,
7,4,1,23.720805366355464,28.279194633644533,
8,4,2,28.279194633644533,inf,
9,5,0,-inf,inf,
10,6,0,-inf,36.97580155080278,
11,6,1,36.97580155080278,50.81730189747308,
12,6,2,50.81730189747308,inf,
13,39,0,-inf,7.098979475371099,
14,39,1,7.098979475371099,8.222064002889772,
15,39,2,8.222064002889772,inf,
16,40,0,-inf,86.22283592795164,
17,40,1,86.22283592795164,95.84923614412044,
18,40,2,95.84923614412044,inf,
19,41,0,-inf,158.58763843536767,
20,41,1,158.58763843536767,173.00210515437593,
21,41,2,173.00210515437593,inf,
22,42,0,-inf,126.37606218592504,
23,42,1,126.37606218592504,174.85178591534077,
24,42,2,174.85178591534077,inf,
25,43,0,-inf,4.066074875290745,
26,43,1,4.066074875290745,4.28082777957651,
27,43,2,4.28082777957651,inf,
28,44,0,-inf,1.0372326948594164,
29,44,1,1.0372326948594164,1.1312589252523153,
30,44,2,1.1312589252523153,inf,
31,55,0,-inf,0.08465281113778036,
32,55,1,0.08465281113778036,0.5820138555288862,
33,55,2,0.5820138555288862,inf,
